title,author
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
Anne of Green Gables,L.M. Montgomery
Swimming Studies,Leanne Shapton
Anne of Avonlea,L.M. Montgomery
The Rules Do Not Apply,Ariel Levy
A Dance with Dragons,George R. R. Martin
Flowers for Algernon,Daniel Keyes
The Spear Cuts Through Water,Simon Jimenez
A Magical Girl Retires,Park Seolyeon
Beloved,Toni Morrison
Novelist as a Vocation,Haruki Murakami
Magnolia Wu Unfolds It All,Chanel Miller
Anne of Green Gables,L.M. Montgomery
Anne of Avonlea,L.M. Montgomery
A Dance with Dragons,George R. R. Martin
The Three-Body Problem,"Cixin Liu, translated"
Everything I Know About Love,Dolly Alderton
"It’s a Good Life, If You Don’t Weaken: A Picture Novella",Seth
The Complete Persepolis,Marjane Satrapi
Anne of Green Gables,L.M. Montgomery
Walking in the Woods: Go back to nature with the Japanese way of shinrin-yoku,Professor Yoshifumi Miyazaki
Blessings,Chukwuebuka Ibeh
The Three-Body Problem,"Cixin Liu, translated"
"It’s a Good Life, If you Don’t Weaken: A Picture Novella",Seth
Metamorphosis,Franz Kafka
My Name is Lucy Barton,Elizabeth Strout
The Pachinko Parlour,"Elisa Shua Dusapin, translated"
Beloved,Toni Morrison
The Girls,Emma Cline
My Name is Lucy Barton,Elizabeth Strout
"It’s a Good Life, If You Don’t Weaken: A Picture Novella",Seth
Gathering Moss,Robin Wall Kimmerer
The Pachinko Parlour,Elisa Shua Dusapin
The Orange and Other Poems,Wendy Cope
Butter,Asako Yuzuki
The Colorado Kid,Stephen King
By Grand Central Station I Sat Down and Wept,Elizabeth Smart
Poverty Creek Journal,Thomas Gardner
As You Like It (No Fear Shakespeare edition),William Shakespeare
Long Island,Colm Toibin
Chlorine,Jade Song
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
Wandering Stars,Tommy Orange
The Girls,Emma Cline
Know My Name,Chanel Miller
The Great Gatsby,F. Scott Fitzgerald
The Name of the Wind,Patrick Rothfuss
Five Little Indians,Michelle Good
Room,Emma Donoghue
Crying in H Mart,Michelle Zauner
Lesser Known Monsters of the 21st Century,Kim Fu
The Dishwasher,Stephane Larue
One Flew Over the Cuckoo’s Nest,Ken Kesey
1Q84,Haruki Murakami
